session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2024-04-04,388,0,0,0.0026,0.0,0.0,0.998286,6.53
2024-04-05,390,4,3,0.0718,-0.4842,-4.5266,0.998436,3.82
2024-04-08,390,1,1,0.0128,-0.1879,-2.7289,0.998636,10.72
2024-04-09,391,15,9,0.0639,-0.8959,-4.4877,0.998703,3.02
2024-04-10,391,6,3,0.0409,-0.2739,-3.5728,0.998686,3.43
2024-04-11,391,3,3,0.0281,-0.3077,-3.3147,0.998802,2.13
2024-04-12,391,12,7,0.0486,-0.5188,-3.6098,0.998932,2.4
2024-04-15,391,9,7,0.0537,-0.6709,-4.0355,0.999041,2.81
2024-04-16,391,3,2,0.0205,-0.211,-2.6644,0.999154,4.03
2024-04-17,391,15,12,0.1483,-1.1231,-6.3249,0.999285,2.17
2024-04-18,390,4,3,0.0256,-0.3512,-3.2107,0.999418,2.24
2024-04-19,391,1,1,0.0026,-0.0463,-1.4039,0.99948,3.69
2024-04-22,389,20,12,0.144,-1.4025,-6.5455,0.999514,2.04
2024-04-23,391,2,2,0.0102,-0.1708,-2.5446,0.999505,2.84
2024-04-24,388,0,0,0.0077,-0.072,-2.0668,0.999321,2.98
2024-04-25,389,11,5,0.0617,-0.4222,-3.9708,0.999244,2.7
2024-04-26,389,3,3,0.018,-0.3265,-2.4043,0.99912,7.7
2024-04-29,388,1,1,0.0026,-0.0484,-1.415,0.999294,4.1
2024-04-30,390,1,1,0.0051,-0.0452,-1.8928,0.999335,2.32
2024-05-01,388,3,3,0.0206,-0.189,-3.2711,1.000001,5.09
2024-05-02,388,8,7,0.0438,-0.7615,-4.0898,1.000647,2.03
2024-05-03,390,0,0,0.0205,-0.0769,-2.7483,1.001367,2.51
2024-05-06,387,3,2,0.0129,-0.2355,-2.3857,1.001427,10.65
2024-05-07,383,10,7,0.0653,-0.6399,-5.1481,1.001524,2.09
2024-05-08,388,2,1,0.018,-0.1589,-2.5848,1.001633,2.38
2024-05-09,377,0,0,0.0,0.0,0.0,1.001652,20.0
2024-05-10,390,0,0,0.0,0.0,0.0,1.00159,20.0
2024-05-13,388,3,2,0.0129,-0.152,-2.3837,1.001312,6.25
2024-05-14,386,6,6,0.0389,-0.64,-3.6874,1.001148,2.67
2024-05-15,389,5,4,0.0257,-0.3696,-3.2146,1.000937,4.31
2024-05-16,386,2,2,0.0181,-0.2355,-2.3912,1.000204,4.64
2024-05-17,390,4,3,0.0256,-0.2843,-3.4949,0.999517,2.98
2024-05-20,390,6,3,0.0513,-0.5718,-3.7742,0.998326,2.43
2024-05-21,388,0,0,0.0026,-0.0397,-1.4074,0.998232,2.75
2024-05-22,389,5,3,0.0308,-0.2874,-3.5402,0.998307,2.67
2024-05-23,391,2,2,0.0512,-0.4001,-3.7571,0.998262,7.83
2024-05-24,380,14,11,0.0816,-0.7086,-5.1059,0.998366,2.16
2024-05-28,385,2,1,0.0208,-0.1418,-3.3142,0.998514,2.33
2024-05-29,383,4,2,0.0183,-0.1579,-2.6947,0.998514,2.24
2024-05-30,381,0,0,0.0079,-0.0569,-2.0666,0.998681,4.7
2024-05-31,387,12,7,0.0594,-0.6955,-4.5667,0.998715,5.4
2024-06-03,388,17,10,0.0696,-0.8101,-4.3468,0.999036,2.24
2024-06-04,388,0,0,0.0,0.0,0.0,0.999615,20.0
2024-06-05,382,4,3,0.0366,-0.3521,-3.0281,1.000058,2.56
2024-06-06,388,10,5,0.0412,-0.521,-3.9082,1.000386,2.1
2024-06-07,389,8,6,0.0617,-0.7486,-4.4378,1.001009,2.32
2024-06-10,387,12,8,0.0724,-1.1658,-4.9905,1.001514,2.81
